UniqueStationID,Park,Loop,Station,Latitude,Longitude,Canopy.m2.2021,CanopyProp2021,Canopy.m2.2016,CanopyProp2016,DeltaCanopy,mDowntown,mMajorWater
145,Discovery,Wolf Tree Nature Trail,DW4,47.66707,-122.4151,7207.580155,0.917697798,7729.217317,0.984114719,-0.067489002,6774.139954,1159.332703
147,Discovery,Wolf Tree Nature Trail,DW6,47.66667,-122.41367,6809.284795,0.866985248,7737.489584,0.985167976,-0.119962008,6673.939438,1373.096914
148,Discovery,Wolf Tree Nature Trail,DW7,47.66517,-122.41345,3730.052287,0.474925106,2199.416821,0.280038505,0.695927871,6531.073092,1544.779543
150,Genesee,Main - Gen,GEM1,47.56955,-122.278333,850.606395,0.108302592,863.414397,0.109933358,-0.014834131,3848.664928,77.5
152,Genesee,Main - Gen,GEM3,47.567533,-122.278567,1139.466737,0.145081441,1181.014628,0.150371484,-0.035179828,4011.004698,300
154,Genesee,Main - Gen,GEM5,47.566417,-122.27685,3910.871066,0.497947673,3762.676904,0.479079002,0.039385301,4188.47898,369.77
155,Genesee,Main - Gen,GEM6,47.568017,-122.277167,3690.426521,0.469879796,3932.449898,0.500695176,-0.06154519,4035.514419,256.21
156,Genesee,Main - Gen,GEM7,47.570483,-122.276383,639.489653,0.081422368,627.433179,0.07988729,0.019215551,3869.097116,0
161,Golden Gardens,Main - GG,GGM1,47.69015,-122.400067,4594.458998,0.58498481,4949.974328,0.630250437,-0.071821651,8493.451877,180.65
162,Golden Gardens,Main - GG,GGM2,47.69205,-122.401417,7066.670439,0.899756612,7777.584225,0.990272986,-0.091405476,8726.834563,207.31
163,Golden Gardens,Main - GG,GGM3,47.687183,-122.404467,0.143887,1.83E-05,0,0,0,8311.085423,0
164,Golden Gardens,Main - GG,GGM4,47.689133,-122.403233,672.410446,0.085613975,644.170497,0.082018352,0.043839246,8474.902253,6.13
165,Golden Gardens,Main - GG,GGM5,47.692767,-122.404617,1844.823583,0.234890283,1642.617663,0.20914462,0.123099809,8888.26312,70.83
166,Golden Gardens,Main - GG,GGM6,47.69415,-122.40455,2193.572325,0.279294361,3013.706316,0.383717086,-0.272134676,9029.293284,43.47
168,Lake Forest,Main - GG,LFM1,47.752517,-122.275183,,,,,,15435.76148,9.85
171,Lincoln,North,LN1,47.530567,-122.393283,4402.281454,0.560516,4867.650487,0.619768638,-0.095604447,8178.722006,437.08
172,Lincoln,North,LN2,47.532267,-122.394433,6600.111645,0.840352489,6747.392536,0.859104879,-0.021827823,8068.585204,253.61
173,Lincoln,North,LN3,47.532133,-122.397333,6725.912735,0.856369985,7040.058217,0.896368238,-0.044622569,8204.859764,88.4
174,Lincoln,North,LN4,47.533517,-122.396183,5537.673387,0.705078621,5812.719115,0.740098538,-0.047317911,8029.291299,65.6
175,Lincoln,North,LN5,47.534217,-122.393533,5933.08696,0.755424251,6525.409698,0.83084114,-0.090771732,7851.246855,206.95
176,Lincoln,North,LN6,47.536,-122.39385,6394.3795,0.814157854,6432.00276,0.818948197,-0.005849385,7702.474307,147.61
177,Lincoln,South,LS1,47.5291,-122.39455,6236.233328,0.794022054,6531.539525,0.831621614,-0.045212342,8367.468683,260.9
178,Lincoln,South,LS2,47.527167,-122.3936,4030.35988,0.513161465,4171.536112,0.531136585,-0.033842745,8511.463707,150.84
179,Lincoln,South,LS3,47.528533,-122.3974,7247.083161,0.922727478,7843.685264,0.998689233,-0.076061454,8537.736041,70.81
180,Lincoln,South,LS4,47.530383,-122.398483,7028.710532,0.894923406,7474.348147,0.951663761,-0.059622272,8413.848762,173.58
181,Lincoln,South,LS5,47.530533,-122.3962,7109.784414,0.905246055,7571.27725,0.96400516,-0.060953102,8302.7474,274.42
182,Magnuson,Back Fence,MB1,47.6832,-122.2499,2436.946641,0.310281748,1172.197639,0.14924887,1.078955425,9291.077187,252.63
183,Magnuson,Back Fence,MB2,47.6824,-122.2522,3833.027799,0.488036359,4449.851304,0.566572783,-0.138616655,9121.914066,437.62
184,Magnuson,Back Fence,MB3,47.6831,-122.2556,1428.017453,0.181820867,1649.924092,0.210074904,-0.13449506,9044.677166,486.79
185,Magnuson,Back Fence,MB4,47.6806,-122.2554,1296.050532,0.165018313,1442.975893,0.183725435,-0.101821078,8822.615098,575.84
186,Magnuson,Back Fence,MB5,47.679,-122.258,1512.203085,0.192539717,1449.19254,0.184516963,0.043479761,8567.260485,650.99
187,Magnuson,Back Fence,MB6,47.6797,-122.2547,2244.08177,0.285725425,2230.245184,0.283963695,0.006204065,8768.024452,473.89
191,Magnuson,Main Drag,MM1,47.6774,-122.2502,3753.259676,0.477879964,3043.138422,0.387464499,0.233351611,8742.812984,52.99
192,Magnuson,Main Drag,MM2,47.681,-122.2472,1884.405582,0.23993002,1874.519863,0.238671331,0.005273734,9200.048805,74.38
193,Magnuson,Main Drag,MM3,47.684,-122.2485,2019.614813,0.257145398,1443.883676,0.183841018,0.398737895,9422.835276,117.17
194,Magnuson,Main Drag,MM4,47.6813,-122.2496,3589.684984,0.457052983,3601.964331,0.458616438,-0.00340907,9126.585434,226.52
195,Magnuson,Main Drag,MM5,47.6798,-122.2501,3233.29273,0.411675702,3307.052535,0.421067094,-0.02230379,8967.102966,184.43
201,Magnuson,South End,MS1,47.6786,-122.254,3471.805575,0.442044107,3910.795172,0.49793801,-0.112250726,8694.431685,360.49
202,Magnuson,South End,MS2,47.6751,-122.2538,3976.055409,0.506247203,4051.077054,0.515799258,-0.018518938,8378.740428,218.21
203,Magnuson,South End,MS3,47.674,-122.2533,4820.271297,0.613736131,5955.506614,0.758278811,-0.190619437,8299.648143,121.28
204,Magnuson,South End,MS4,47.6737,-122.2557,4423.447712,0.563210972,4599.498401,0.585626447,-0.038276063,8169.757109,290.23
205,Magnuson,South End,MS5,47.6747,-122.257,2130.144386,0.271218463,1876.853051,0.238968402,0.134955336,8208.115589,408.73
209,Magnuson,Waterfront,MWF1,47.6758,-122.2514,155.10989,0.019749209,141.957688,0.018074618,0.092648748,8545.417838,98.87
210,Magnuson,Waterfront,MWF2,47.6738,-122.2517,2815.374813,0.358464729,2936.638044,0.373904446,-0.041293217,8351.266753,4.31
211,Magnuson,Waterfront,MWF3,47.6753,-122.2502,726.111739,0.092451437,590.385219,0.075170196,0.229894848,8552.412631,4.49
213,Magnuson,Waterfront,MWF5,47.6784,-122.2484,1148.952077,0.146289152,1140.159959,0.145169705,0.007711302,8911.467634,3.55
215,Magnuson,Waterfront,MWF7,47.682,-122.2457,395.952833,0.050414291,248.194449,0.031601105,0.595333153,9355.586762,0
216,Magnuson,Waterfront,MWF8,47.6856,-122.2483,2044.342749,0.260293857,2098.256697,0.267158396,-0.025694639,9580.451899,0
219,Magnuson,Wetland,MWL2,47.6785,-122.2565,2083.346576,0.26525998,2927.839992,0.372784243,-0.288435645,8582.104259,526.09
220,Magnuson,Wetland,MWL3,47.6768,-122.2584,1432.143721,0.18234624,603.745692,0.076871305,1.372097623,8345.771749,607.36
222,Seward,East,SE1,47.552617,-122.2517,6757.232154,0.860357698,7674.833873,0.977190402,-0.119559815,6588.663452,234.2
223,Seward,East,SE2,47.55533,-122.24995,7128.342755,0.907608977,7853.950218,0.999996208,-0.092387581,6465.377741,171.67
224,Seward,East,SE3,47.557267,-122.251,7151.770109,0.910591841,7816.659487,0.995248204,-0.085060553,6259.328841,231.64
225,Seward,East,SE4,47.559517,-122.250133,7533.487135,0.959193573,7853.950218,0.999996208,-0.04080279,6139.308646,88.83
226,Seward,East,SE5,47.561567,-122.253267,5082.612335,0.647138436,5088.443944,0.64788094,-0.00114605,5811.774463,24.75
227,Seward,East,SE6,47.557393,-122.247784,3463.74299,0.441017547,3997.631813,0.508994397,-0.133551274,6428.180773,10.37
228,Seward,East,SE7,47.549367,-122.252917,5159.615124,0.656942738,5431.388745,0.691546037,-0.050037593,6797.249939,29.65
229,Seward,East,SE8,47.550133,-122.25475,4332.371214,0.55161475,4324.916274,0.550665557,0.001723719,6643.056896,116.83
230,Seward,West,SW1,47.5517,-122.2545,2902.061142,0.369501978,3467.533572,0.441500179,-0.163076267,6522.96967,144.74
231,Seward,West,SW2,47.5518,-122.2571,3116.344799,0.396785426,3089.036258,0.393308394,0.008840473,6387.423907,9.29
232,Seward,West,SW3,47.5541,-122.2541,2926.39166,0.372599836,3002.862361,0.38233639,-0.025465936,6344.857911,24.9
233,Seward,West,SW4,47.5608,-122.2553,3847.374678,0.48986306,3585.891951,0.456570039,0.072919857,5754.72376,2.32
234,Seward,West,SW5,47.5595,-122.2518,6997.998113,0.891012979,7853.950218,0.999996208,-0.108983643,6046.757962,196.01
235,Seward,West,SW6,47.5561,-122.2524,7362.435578,0.937414607,7853.950218,0.999996208,-0.062581838,6273.904149,186.77
236,Seward,West,SW7,47.5539,-122.2512,7165.791041,0.912377042,7820.690758,0.995761481,-0.08373937,6511.363275,240.7
237,Seward,West,SW8,47.5517,-122.2525,7081.446174,0.901637918,7777.554948,0.990269258,-0.089502264,6622.942999,244.86
266,Arboretum,Main - A,AM1,47.6379,-122.2933,4853.838432,0.618010032,5135.929749,0.653927022,-0.054925073,3291.764469,366.84
267,Arboretum,Main - A,AM2,47.6362,-122.2941,4849.795408,0.617495258,4905.78464,0.62462403,-0.011412901,3100.388441,552.42
268,Arboretum,Main - A,AM3,47.633,-122.2939,5921.888408,0.753998407,6606.932038,0.841220889,-0.103685588,2819.124788,908.11
269,Arboretum,Main - A,AM4,47.6318,-122.2932,4694.944806,0.597779063,5361.961999,0.682706347,-0.124397971,2748.223135,1043.12
270,Arboretum,Main - A,AM5,47.6302,-122.2951,4549.156181,0.579216675,4392.403315,0.559258276,0.035687266,2520.185988,1109.04
271,Arboretum,Main - A,AM6,47.6316,-122.2951,4337.763523,0.55230132,4238.969127,0.539722424,0.023306232,2640.872281,1067.11
272,Arboretum,Main - A,AM7,47.6333,-122.2957,6132.053177,0.780757422,6363.945361,0.810282858,-0.036438431,2766.012698,884.32
273,Arboretum,Main - A,AM8,47.6349,-122.2963,6991.307287,0.890161076,7464.581263,0.950420203,-0.063402616,2889.371359,718.48
274,Arboretum,Main - A,AM9,47.6365,-122.2962,5660.899355,0.720768242,6302.356276,0.802441091,-0.101780492,3043.444123,545.31
275,Arboretum,Main - A,AM10,47.6381,-122.2959,4991.593666,0.635549577,4991.783723,0.635573776,-3.81E-05,3203.076836,370.58
