park,loop,station,code,latitude,longitude,near_phase_0,near_phase_1,near_phase_2,near_phase_3,near_phase_4
Discovery Park,South Meadow,9,DSM9,47.654567,-122.415217,n,n,y,y,n
Carkeek Park,Venema Meadow Loop,1,CV1,47.711767,-122.369283,n,n,n,y,n
Carkeek Park,Venema Meadow Loop,2,CV2,47.711117,-122.371683,n,n,n,y,y
Carkeek Park,Venema Meadow Loop,3,CV3,47.71285,-122.370683,n,n,n,y,y
Carkeek Park,Venema Meadow Loop,4,CV4,47.712117,-122.374283,n,n,n,y,y
Carkeek Park,Venema Meadow Loop,5,CV5,47.71355,-122.375967,n,n,n,n,y
Carkeek Park,Venema Meadow Loop,6,CV6,47.713017,-122.378433,y,n,n,y,n
Carkeek Park,Venema Meadow Loop,7,CV7,47.712,-122.379083,n,y,n,n,n
Carkeek Park,Venema Meadow Loop,8,CV8,47.710483,-122.37925,n,n,n,y,n
Carkeek Park,Venema Meadow Loop,9,CV9,47.711283,-122.37635,n,y,n,y,n
Magnuson Park,Waterfront Loop,1,MWF1,47.6758,-122.2514,n,n,n,n,n
Magnuson Park,Waterfront Loop,2,MWF2,47.6738,-122.2517,y,y,y,y,n
Magnuson Park,Waterfront Loop,3,MWF3,47.6753,-122.2502,y,n,n,n,n
Magnuson Park,Waterfront Loop,4,MWF4,47.6768,-122.2496,y,n,n,n,n
Magnuson Park,Waterfront Loop,5,MWF5,47.6784,-122.2484,y,n,n,n,n
Magnuson Park,Waterfront Loop,6,MWF6,47.6805,-122.2466,n,n,n,n,n
Magnuson Park,Waterfront Loop,7,MWF7,47.682,-122.2457,y,n,n,n,n
Magnuson Park,Waterfront Loop,8,MWF8,47.6856,-122.2483,y,n,n,n,n
Seward Park,West Loop,1,SW1,47.5517,-122.2545,n,n,n,n,n
Seward Park,West Loop,2,SW2,47.5518,-122.2571,n,n,n,y,y
Seward Park,West Loop,3,SW3,47.5541,-122.2541,n,n,n,y,y
